Date,CDS
2011-12-26,9.000955581665039
2011-12-27,8.983247756958008
2011-12-28,8.770767211914062
2011-12-29,8.859302520751953
2011-12-30,8.941933631896973
2011-12-31,8.941933631896973
2012-01-01,8.941933631896973
2012-01-02,8.941933631896973
2012-01-03,9.237046241760254
2012-01-04,9.095394134521484
2012-01-05,8.688136100769043
2012-01-06,8.534674644470215
2012-01-07,8.534674644470215
2012-01-08,8.534674644470215
2012-01-09,8.487457275390625
2012-01-10,8.753060340881348
2012-01-11,8.906518936157227
2012-01-12,8.995052337646484
2012-01-13,8.877010345458984
2012-01-14,8.877010345458984
2012-01-15,8.877010345458984
2012-01-16,8.877010345458984
2012-01-17,9.03046703338623
2012-01-18,9.237046241760254
2012-01-19,9.797761917114258
2012-01-20,9.945318222045898
2012-01-21,9.945318222045898
2012-01-22,9.945318222045898
2012-01-23,10.016144752502441
2012-01-24,9.93941593170166
2012-01-25,10.128287315368652
2012-01-26,10.228629112243652
2012-01-27,10.222723007202148
2012-01-28,10.222723007202148
2012-01-29,10.222723007202148
2012-01-30,9.89220142364502
2012-01-31,9.968929290771484
2012-02-01,10.299455642700195
2012-02-02,10.393892288208008
2012-02-03,10.59456729888916
2012-02-04,10.59456729888916
2012-02-05,10.59456729888916
2012-02-06,10.517840385437012
2012-02-07,10.647690773010254
2012-02-08,10.824756622314453
2012-02-09,10.783440589904785
2012-02-10,10.417498588562012
2012-02-11,10.417498588562012
2012-02-12,10.417498588562012
2012-02-13,10.547350883483887
2012-02-14,10.382084846496582
2012-02-15,10.393892288208008
2012-02-16,10.517840385437012
2012-02-17,10.659491539001465
2012-02-18,10.659491539001465
2012-02-19,10.659491539001465
2012-02-20,10.659491539001465
2012-02-21,10.706711769104004
2012-02-22,10.517840385437012
2012-02-23,10.588667869567871
2012-02-24,10.736220359802246
2012-02-25,10.736220359802246
2012-02-26,10.736220359802246
2012-02-27,10.60637092590332
2012-02-28,10.72441577911377
2012-02-29,10.624079704284668
2012-03-01,10.854265213012695
2012-03-02,10.771637916564941
2012-03-03,10.771637916564941
2012-03-04,10.771637916564941
2012-03-05,10.6417875289917
2012-03-06,10.069265365600586
2012-03-07,10.246334075927734
2012-03-08,10.547350883483887
2012-03-09,10.429303169250488
2012-03-10,10.429303169250488
2012-03-11,10.429303169250488
2012-03-12,10.364380836486816
2012-03-13,10.66539478302002
2012-03-14,10.812950134277344
2012-03-15,10.919193267822266
2012-03-16,11.13167667388916
2012-03-17,11.13167667388916
2012-03-18,11.13167667388916
2012-03-19,11.19069766998291
2012-03-20,11.04314136505127
2012-03-21,10.842462539672852
2012-03-22,10.659491539001465
2012-03-23,10.736220359802246
2012-03-24,10.736220359802246
2012-03-25,10.736220359802246
2012-03-26,10.889681816101074
2012-03-27,10.789341926574707
2012-03-28,10.60637092590332
2012-03-29,10.38798713684082
2012-03-30,10.494230270385742
2012-03-31,10.494230270385742
2012-04-01,10.494230270385742
2012-04-02,10.576858520507812
2012-04-03,10.234528541564941
2012-04-04,9.99843978881836
2012-04-05,9.862686157226562
2012-04-06,9.862686157226562
2012-04-07,9.862686157226562
2012-04-08,9.862686157226562
2012-04-09,9.774149894714355
2012-04-10,9.443628311157227
2012-04-11,9.691520690917969
2012-04-12,9.963024139404297
2012-04-13,9.567572593688965
2012-04-14,9.567572593688965
2012-04-15,9.567572593688965
2012-04-16,9.567572593688965
2012-04-17,9.874491691589355
2012-04-18,9.750545501708984
2012-04-19,9.597084999084473
2012-04-20,9.709227561950684
2012-04-21,9.709227561950684
2012-04-22,9.709227561950684
2012-04-23,9.45543098449707
2012-04-24,9.597084999084473
2012-04-25,9.80366325378418
2012-04-26,9.774149894714355
2012-04-27,9.93941593170166
2012-04-28,9.93941593170166
2012-04-29,9.93941593170166
2012-04-30,9.76824951171875
2012-05-01,9.909904479980469
2012-05-02,9.691520690917969
2012-05-03,9.549866676330566
2012-05-04,9.514452934265137
2012-05-05,9.514452934265137
2012-05-06,9.514452934265137
2012-05-07,9.614791870117188
2012-05-08,9.396406173706055
2012-05-09,9.201631546020508
2012-05-10,9.360993385314941
2012-05-11,9.219339370727539
2012-05-12,9.219339370727539
2012-05-13,9.219339370727539
2012-05-14,8.971445083618164
2012-05-15,8.741255760192871
2012-05-16,8.69994068145752
2012-05-17,8.522870063781738
2012-05-18,8.446144104003906
2012-05-19,8.446144104003906
2012-05-20,8.446144104003906
2012-05-21,8.723550796508789
2012-05-22,8.71764850616455
2012-05-23,8.635015487670898
2012-05-24,8.558284759521484
2012-05-25,8.511069297790527
2012-05-26,8.511069297790527
2012-05-27,8.511069297790527
2012-05-28,8.511069297790527
2012-05-29,8.505165100097656
2012-05-30,8.292684555053711
2012-05-31,8.298584938049316
2012-06-01,8.15693187713623
2012-06-02,8.15693187713623
2012-06-03,8.15693187713623
2012-06-04,8.322196006774902
2012-06-05,8.322196006774902
2012-06-06,8.753060340881348
2012-06-07,8.835691452026367
2012-06-08,8.770767211914062
2012-06-09,8.770767211914062
2012-06-10,8.770767211914062
2012-06-11,8.59369945526123
2012-06-12,8.741255760192871
2012-06-13,8.71764850616455
2012-06-14,8.806182861328125
2012-06-15,9.059978485107422
2012-06-16,9.059978485107422
2012-06-17,9.059978485107422
2012-06-18,8.859302520751953
2012-06-19,9.071783065795898
2012-06-20,9.213438987731934
2012-06-21,9.030404090881348
2012-06-22,9.072830200195312
2012-06-23,9.072830200195312
2012-06-24,9.072830200195312
2012-06-25,8.842525482177734
2012-06-26,8.806161880493164
2012-06-27,9.000102996826172
2012-06-28,8.866767883300781
2012-06-29,9.333436965942383
2012-06-30,9.333436965942383
2012-07-01,9.333436965942383
2012-07-02,9.387984275817871
2012-07-03,9.472834587097168
2012-07-04,9.472834587097168
2012-07-05,9.200104713439941
2012-07-06,8.939493179321289
2012-07-07,8.939493179321289
