Date,VIX,Spread,CDS,FSI
2017-12-29,11.039999961853027,3.58,16.416784286499023,-0.5298559891468245
2017-12-30,11.039999961853027,3.58,16.416784286499023,-0.5298559891468245
2017-12-31,11.039999961853027,3.63,16.416784286499023,-0.5170612653463037
2018-01-01,11.039999961853027,3.63,16.416784286499023,-0.5170612653463037
2018-01-02,9.770000457763672,3.55,16.550596237182617,-0.5901684363835077
2018-01-03,9.149999618530273,3.48,16.529468536376953,-0.6397538995049228
2018-01-04,9.220000267028809,3.4,16.811182022094727,-0.6373389951809414
2018-01-05,9.220000267028809,3.36,16.825265884399414,-0.6466011307555981
2018-01-06,9.220000267028809,3.36,16.825265884399414,-0.6466011307555981
2018-01-07,9.220000267028809,3.36,16.825265884399414,-0.6466011307555981
2018-01-08,9.520000457763672,3.35,16.775964736938477,-0.6379495336010291
2018-01-09,10.079999923706055,3.33,16.853439331054688,-0.6104230376627989
2018-01-10,9.819999694824219,3.42,17.121063232421875,-0.5815608476156924
2018-01-11,9.880000114440918,3.4,17.339387893676758,-0.5686617663710072
2018-01-12,10.15999984741211,3.37,17.55771827697754,-0.547600805501898
2018-01-13,10.15999984741211,3.37,17.55771827697754,-0.547600805501898
2018-01-14,10.15999984741211,3.37,17.55771827697754,-0.547600805501898
2018-01-15,10.15999984741211,3.35,17.55771827697754,-0.5527186950221062
2018-01-16,11.65999984741211,3.34,17.536590576171875,-0.48364417591635944
2018-01-17,11.90999984741211,3.34,17.635190963745117,-0.4646454051590805
2018-01-18,12.220000267028809,3.35,17.684490203857422,-0.44357218632144085
2018-01-19,11.270000457763672,3.35,17.754915237426758,-0.4849964693738807
2018-01-20,11.270000457763672,3.35,17.754915237426758,-0.4849964693738807
2018-01-21,11.270000457763672,3.35,17.754915237426758,-0.4849964693738807
2018-01-22,11.029999732971191,3.32,17.966197967529297,-0.48976202257312923
2018-01-23,11.100000381469727,3.31,17.92394256591797,-0.49183107367025974
2018-01-24,11.470000267028809,3.28,18.07184600830078,-0.4712532064732203
2018-01-25,11.579999923706055,3.28,18.07184600830078,-0.4658929920687674
2018-01-26,11.079999923706055,3.23,18.191570281982422,-0.4947756422334262
